GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,319.36,923.89,1102.15,-849.44,-7449.74,414.45,4141.03,-1208.83,40.87,-1398.29,-1167.97,-2566.26
5002,354.08,874.9,1121.47,-844.63,-7546.08,430.64,4236.77,-1204.61,40.95,-1372.85,-1163.66,-2536.51
5003,349.83,910.03,1123.39,-834.52,-7405.01,428.45,4180.66,-1283.83,42.93,-1247.17,-1240.9,-2488.06
5004,338.0,895.52,1116.4,-851.51,-7341.43,408.87,4137.21,-1283.61,41.82,-1296.94,-1241.79,-2538.73
5005,374.9,879.83,1090.21,-824.76,-7347.07,408.23,4145.6,-1301.35,43.32,-1273.06,-1258.03,-2531.09
5006,354.1,894.82,1119.29,-822.64,-7350.36,413.38,4128.37,-1306.45,41.66,-1263.04,-1264.79,-2527.83
5007,357.21,862.59,1101.07,-812.6,-7379.71,417.95,4153.89,-1293.87,42.54,-1299.6,-1251.33,-2550.94
5008,343.8,867.39,1130.65,-846.8,-7374.14,405.53,4150.38,-1297.34,42.4,-1323.19,-1254.94,-2578.13
5009,337.02,853.81,1143.92,-865.07,-7385.58,428.09,4176.28,-1287.31,40.81,-1311.53,-1246.5,-2558.04
5010,354.55,882.07,1101.87,-845.81,-7380.5,415.98,4184.97,-1293.97,41.3,-1286.88,-1252.67,-2539.54
5011,350.9,943.25,1113.64,-845.29,-7363.44,415.87,4166.73,-1307.23,42.2,-1218.33,-1265.02,-2483.36
5012,358.74,877.42,1116.54,-853.49,-7393.41,412.76,4183.59,-1292.0,42.51,-1297.86,-1249.49,-2547.35
5013,347.84,903.26,1108.16,-834.09,-7384.43,438.74,4193.04,-1289.13,42.77,-1227.48,-1246.36,-2473.84
5014,359.05,909.96,1088.3,-835.72,-7306.43,399.51,4100.42,-1324.64,41.75,-1284.91,-1282.89,-2567.8
5015,339.25,890.91,1122.27,-848.3,-7397.68,419.23,4176.41,-1294.46,41.03,-1297.91,-1253.42,-2551.33
5016,319.39,883.73,1100.33,-836.57,-7379.2,415.48,4180.01,-1294.84,42.93,-1316.84,-1251.91,-2568.75
5017,338.26,897.11,1107.16,-857.04,-7416.4,416.23,4180.23,-1256.3,41.55,-1334.45,-1214.75,-2549.2
5018,342.01,868.42,1106.37,-844.42,-7394.18,408.73,4159.32,-1284.07,42.72,-1353.75,-1241.35,-2595.1
5019,344.4,885.37,1112.23,-841.1,-7392.66,414.63,4191.9,-1305.7,42.34,-1285.24,-1263.36,-2548.6
5020,331.99,897.03,1114.87,-843.63,-7355.69,406.78,4164.57,-1309.22,42.72,-1284.08,-1266.5,-2550.57
5021,340.47,925.32,1113.89,-853.23,-7387.9,404.03,4197.16,-1306.62,42.91,-1260.26,-1263.71,-2523.96
5022,344.01,888.66,1098.92,-840.55,-7290.5,417.59,4157.7,-1378.71,44.24,-1224.17,-1334.47,-2558.64
5023,314.16,895.79,1116.3,-849.46,-7347.09,422.97,4177.24,-1322.89,42.85,-1270.09,-1280.04,-2550.13
5024,357.3,869.35,1108.3,-851.71,-7357.01,423.82,4194.34,-1330.92,42.9,-1255.62,-1288.02,-2543.64
5025,332.97,890.27,1093.62,-834.72,-7389.22,407.97,4181.95,-1298.17,44.22,-1317.16,-1253.95,-2571.11
5026,328.17,913.55,1109.02,-828.3,-7430.96,434.66,4196.23,-1272.6,42.9,-1277.63,-1229.7,-2507.33
5027,348.17,892.13,1112.58,-812.41,-7438.69,423.84,4212.72,-1295.1,43.4,-1261.66,-1251.7,-2513.37
5028,315.3,912.41,1117.8,-832.43,-7386.28,418.17,4192.21,-1301.65,43.95,-1262.83,-1257.7,-2520.53
5029,339.32,875.84,1123.25,-831.35,-7390.51,409.94,4204.71,-1318.67,43.12,-1268.8,-1275.55,-2544.35
5030,355.63,921.62,1127.66,-813.84,-7450.05,418.78,4191.41,-1284.89,43.37,-1248.79,-1241.52,-2490.31
5031,344.49,864.36,1105.69,-823.87,-7371.45,417.38,4208.1,-1344.31,43.92,-1255.29,-1300.39,-2555.68
5032,374.43,880.08,1105.28,-807.63,-7381.3,401.8,4156.2,-1301.1,44.77,-1271.14,-1256.33,-2527.47
5033,329.19,897.97,1087.12,-832.3,-7372.27,404.63,4149.37,-1264.51,44.52,-1336.29,-1219.99,-2556.28
5034,333.6,885.05,1095.31,-833.49,-7352.68,407.31,4160.02,-1288.12,44.48,-1304.87,-1243.64,-2548.51
5035,331.07,882.64,1114.5,-824.08,-7414.56,428.65,4188.76,-1270.71,43.47,-1293.01,-1227.24,-2520.25
5036,353.18,912.79,1101.12,-822.4,-7444.83,427.39,4194.06,-1252.14,43.74,-1278.69,-1208.41,-2487.09
5037,328.58,924.42,1126.53,-820.83,-7366.9,428.28,4179.16,-1318.54,43.38,-1200.76,-1275.17,-2475.92
5038,320.74,938.88,1085.64,-812.04,-7311.49,418.13,4128.73,-1323.3,44.76,-1231.43,-1278.54,-2509.96
5039,352.4,893.14,1131.23,-782.87,-7357.94,426.93,4158.07,-1319.12,45.42,-1179.03,-1273.69,-2452.72
5040,330.64,885.78,1088.11,-837.5,-7341.84,412.05,4121.13,-1300.41,43.84,-1341.64,-1256.57,-2598.21
5041,320.57,884.46,1102.2,-812.91,-7382.78,415.85,4171.35,-1292.49,44.23,-1301.26,-1248.26,-2549.52
5042,334.13,886.11,1108.63,-816.42,-7362.75,411.55,4165.59,-1320.58,44.71,-1273.16,-1275.88,-2549.04
5043,333.7,868.12,1124.58,-815.5,-7357.85,422.84,4169.33,-1315.42,44.77,-1254.78,-1270.65,-2525.43
5044,351.89,872.75,1106.17,-819.22,-7332.94,406.35,4157.98,-1333.8,43.63,-1257.01,-1290.17,-2547.18
5045,357.5,886.17,1113.14,-805.64,-7342.96,410.55,4139.2,-1307.24,43.37,-1242.05,-1263.87,-2505.92
5046,338.55,855.36,1099.28,-805.89,-7388.52,419.96,4144.73,-1271.95,44.11,-1336.53,-1227.84,-2564.37
5047,328.69,887.96,1103.51,-822.7,-7365.4,409.21,4134.13,-1294.56,43.52,-1324.61,-1251.04,-2575.64
5048,363.37,911.45,1126.79,-819.57,-7297.84,409.87,4080.24,-1306.52,42.66,-1225.69,-1263.86,-2489.55
5049,373.26,910.32,1118.54,-828.36,-7326.78,415.92,4146.96,-1356.99,44.49,-1190.14,-1312.5,-2502.64
5050,319.61,898.48,1099.1,-837.14,-7324.93,408.0,4165.26,-1356.5,44.28,-1271.62,-1312.22,-2583.84
5051,366.18,918.79,1123.55,-836.44,-7295.95,419.3,4154.99,-1336.8,43.26,-1149.58,-1293.55,-2443.12
5052,319.12,890.81,1127.73,-840.3,-7288.86,418.98,4133.46,-1344.98,42.23,-1239.07,-1302.75,-2541.82
5053,330.02,894.66,1102.9,-836.14,-7383.45,415.72,4149.98,-1275.28,42.42,-1326.32,-1232.86,-2559.18
5054,337.81,835.72,1104.49,-834.65,-7361.6,421.19,4195.44,-1312.59,41.68,-1301.6,-1270.91,-2572.51
5055,340.77,902.36,1123.44,-836.91,-7381.63,420.82,4156.87,-1293.33,42.83,-1274.29,-1250.49,-2524.78
5056,322.61,944.35,1081.07,-822.73,-7374.44,409.06,4143.1,-1286.87,43.52,-1296.98,-1243.35,-2540.33
5057,338.38,932.33,1096.91,-838.16,-7347.06,389.12,4141.22,-1303.43,42.5,-1287.25,-1260.93,-2548.18
5058,344.01,921.32,1084.17,-842.43,-7359.98,414.65,4119.59,-1298.06,43.05,-1318.66,-1255.01,-2573.67
5059,337.08,925.84,1110.72,-814.9,-7320.66,415.14,4109.91,-1315.36,42.27,-1236.87,-1273.09,-2509.96
5060,332.21,889.28,1103.79,-830.7,-7362.52,413.03,4142.45,-1303.13,43.08,-1312.45,-1260.05,-2572.5
5061,328.22,908.89,1116.69,-802.61,-7367.23,399.53,4111.67,-1281.21,44.06,-1304.83,-1237.15,-2541.99
5062,380.27,917.27,1123.14,-826.31,-7414.88,412.65,4162.71,-1281.3,43.79,-1245.15,-1237.51,-2482.65
5063,338.76,898.06,1108.76,-832.18,-7332.3,425.06,4139.6,-1310.16,42.84,-1254.24,-1267.32,-2521.56
5064,331.84,874.02,1083.46,-816.27,-7441.75,422.3,4199.16,-1273.93,43.79,-1347.23,-1230.14,-2577.37
5065,345.06,886.11,1134.48,-827.16,-7375.58,423.51,4153.27,-1277.6,43.2,-1260.31,-1234.4,-2494.72
5066,349.63,872.6,1114.99,-802.03,-7370.75,400.04,4159.19,-1313.74,43.93,-1276.34,-1269.81,-2546.15
5067,337.05,900.01,1105.52,-818.67,-7354.92,418.52,4141.72,-1315.1,43.65,-1270.77,-1271.45,-2542.22
5068,352.86,886.78,1091.64,-829.99,-7339.02,400.71,4127.88,-1286.69,41.83,-1309.14,-1244.85,-2553.99
5069,347.36,925.36,1113.15,-835.07,-7437.59,437.37,4189.86,-1262.22,43.01,-1259.56,-1219.21,-2478.77
5070,330.75,905.12,1070.32,-821.39,-7401.95,433.39,4173.08,-1268.69,41.47,-1310.68,-1227.21,-2537.9
5071,336.32,929.01,1096.92,-812.99,-7347.51,406.38,4118.69,-1305.95,42.92,-1273.18,-1263.03,-2536.21
5072,335.65,926.46,1120.83,-835.63,-7393.58,407.03,4159.36,-1273.39,42.79,-1279.89,-1230.59,-2510.48
5073,329.75,894.21,1115.63,-832.53,-7419.7,420.85,4200.54,-1287.15,42.82,-1291.26,-1244.33,-2535.59
5074,370.52,872.52,1117.16,-840.84,-7442.47,405.38,4156.42,-1255.36,42.35,-1361.29,-1213.01,-2574.31
5075,355.42,878.67,1081.51,-815.83,-7437.82,409.06,4141.12,-1248.57,41.49,-1387.87,-1207.08,-2594.95
5076,332.43,914.06,1114.77,-804.17,-7470.62,421.04,4166.87,-1243.42,42.92,-1325.64,-1200.5,-2526.14
5077,332.14,860.3,1111.34,-831.7,-7416.59,410.56,4178.47,-1278.54,42.16,-1355.47,-1236.38,-2591.85
5078,330.51,917.39,1095.53,-816.16,-7456.91,416.62,4159.11,-1214.48,41.71,-1353.91,-1172.77,-2526.68
5079,376.51,922.37,1120.35,-826.67,-7377.67,409.12,4160.84,-1286.39,41.57,-1215.16,-1244.82,-2459.97
5080,354.39,912.64,1109.61,-815.38,-7430.63,406.92,4133.13,-1232.52,42.33,-1329.31,-1190.2,-2519.51
5081,339.42,912.47,1095.65,-838.66,-7308.15,414.58,4127.04,-1305.75,43.29,-1257.64,-1262.46,-2520.11
5082,370.26,942.22,1101.93,-820.22,-7338.36,411.59,4119.37,-1286.3,42.15,-1213.21,-1244.16,-2457.37
5083,359.39,879.74,1119.86,-830.63,-7343.57,424.11,4183.57,-1309.87,43.59,-1207.53,-1266.28,-2473.81
5084,332.65,861.86,1098.58,-809.57,-7367.87,413.33,4144.44,-1290.1,43.28,-1326.57,-1246.82,-2573.38
5085,357.35,894.35,1106.95,-839.73,-7412.91,433.03,4192.48,-1275.24,44.01,-1268.47,-1231.23,-2499.7
5086,326.72,952.52,1106.97,-827.52,-7317.8,413.84,4158.9,-1319.38,43.56,-1186.37,-1275.82,-2462.19
5087,319.94,920.62,1106.28,-826.02,-7333.11,427.23,4117.56,-1299.47,44.21,-1267.49,-1255.26,-2522.76
5088,324.31,907.81,1115.16,-813.28,-7339.31,418.21,4112.56,-1280.49,43.9,-1274.54,-1236.59,-2511.13
5089,306.42,931.6,1104.47,-830.5,-7396.21,412.16,4159.85,-1260.31,42.25,-1312.22,-1218.06,-2530.28
5090,335.12,925.16,1120.69,-831.93,-7388.69,409.63,4163.95,-1290.09,42.21,-1266.06,-1247.87,-2513.93
5091,345.58,890.47,1111.8,-818.52,-7388.42,411.05,4113.16,-1262.47,42.88,-1334.88,-1219.6,-2554.47
5092,337.71,905.3,1098.16,-824.35,-7372.63,420.16,4163.06,-1305.73,43.16,-1272.59,-1262.56,-2535.16
5093,344.55,933.97,1104.4,-816.79,-7324.85,410.79,4132.18,-1322.48,45.06,-1215.75,-1277.42,-2493.17
5094,318.28,919.54,1127.78,-845.77,-7260.78,411.59,4112.83,-1329.05,42.94,-1216.52,-1286.1,-2502.63
5095,324.04,902.57,1110.06,-833.13,-7309.74,414.02,4119.5,-1306.44,42.21,-1272.69,-1264.22,-2536.91
5096,349.81,905.27,1104.24,-803.88,-7284.31,405.81,4138.33,-1350.12,43.94,-1184.74,-1306.18,-2490.92
5097,342.73,901.23,1121.74,-820.77,-7336.4,430.1,4193.94,-1354.82,43.25,-1167.43,-1311.57,-2479.0
5098,335.02,850.73,1107.8,-827.09,-7339.56,436.7,4160.46,-1340.98,44.51,-1275.94,-1296.47,-2572.41
5099,346.02,892.22,1128.46,-835.62,-7299.76,411.07,4162.15,-1384.66,44.92,-1195.47,-1339.74,-2535.21
5100,353.71,898.5,1112.96,-847.11,-7324.19,425.4,4146.55,-1330.09,43.71,-1234.18,-1286.38,-2520.56
5101,324.0,892.8,1112.35,-844.46,-7376.24,406.22,4180.7,-1319.01,43.12,-1304.63,-1275.89,-2580.52
5102,358.15,893.5,1105.78,-853.5,-7378.66,406.37,4192.93,-1297.65,41.81,-1275.43,-1255.84,-2531.27
5103,339.01,918.16,1126.87,-845.33,-7380.68,423.92,4186.96,-1302.42,42.59,-1231.1,-1259.82,-2490.93
5104,344.38,874.82,1104.96,-837.07,-7428.03,400.32,4207.3,-1273.74,42.83,-1333.32,-1230.91,-2564.23
5105,330.82,936.77,1112.21,-818.74,-7392.1,404.68,4145.7,-1284.31,42.48,-1280.66,-1241.83,-2522.5
5106,371.06,855.95,1113.59,-827.43,-7340.25,399.16,4148.25,-1305.19,41.48,-1279.67,-1263.71,-2543.38
5107,334.97,873.79,1095.02,-834.79,-7344.1,413.12,4164.3,-1318.84,42.75,-1297.68,-1276.09,-2573.77
5108,344.0,904.32,1108.14,-820.89,-7354.08,404.4,4173.15,-1336.96,43.11,-1240.97,-1293.85,-2534.81
5109,350.39,865.12,1103.08,-847.63,-7398.89,416.94,4217.5,-1316.68,43.06,-1293.48,-1273.62,-2567.1
5110,325.42,873.19,1107.28,-841.09,-7376.88,417.62,4186.23,-1302.11,42.36,-1308.23,-1259.76,-2567.99
5111,320.16,933.41,1100.53,-835.56,-7396.99,413.5,4172.59,-1298.38,41.75,-1292.36,-1256.63,-2548.99
5112,337.43,877.18,1121.64,-855.17,-7368.49,417.43,4165.61,-1299.59,39.64,-1304.38,-1259.95,-2564.33
5113,320.68,963.62,1097.35,-850.62,-7332.06,402.95,4149.37,-1326.83,41.17,-1248.71,-1285.67,-2534.38
5114,353.85,901.27,1107.94,-849.53,-7382.79,413.66,4178.87,-1311.49,42.78,-1276.73,-1268.71,-2545.44
5115,339.67,878.16,1105.12,-801.97,-7442.29,414.84,4192.94,-1296.1,42.88,-1313.53,-1253.22,-2566.74
5116,344.03,889.99,1102.27,-830.59,-7387.0,418.11,4149.03,-1279.14,42.28,-1314.16,-1236.86,-2551.03
5117,357.39,896.42,1103.4,-829.91,-7388.29,408.8,4155.27,-1282.38,42.08,-1296.9,-1240.3,-2537.2
5118,337.88,864.46,1084.61,-833.31,-7411.54,408.85,4184.42,-1286.08,43.2,-1364.63,-1242.88,-2607.51
5119,336.21,863.42,1094.31,-857.36,-7371.37,421.26,4164.83,-1287.77,41.0,-1348.7,-1246.77,-2595.47
5120,342.93,922.9,1096.48,-809.66,-7401.8,402.75,4141.63,-1290.45,43.47,-1304.76,-1246.98,-2551.74
5121,339.93,868.24,1119.53,-816.91,-7454.44,405.87,4158.53,-1230.87,43.59,-1379.26,-1187.28,-2566.53
5122,328.12,902.0,1080.03,-809.82,-7498.22,433.76,4161.92,-1215.97,42.34,-1402.21,-1173.63,-2575.84
5123,320.3,898.49,1087.46,-830.28,-7329.4,413.52,4135.46,-1300.99,42.87,-1304.45,-1258.12,-2562.58
5124,311.26,924.57,1112.21,-802.28,-7376.94,421.18,4156.3,-1283.99,43.09,-1253.7,-1240.9,-2494.6
5125,346.98,919.07,1096.86,-822.35,-7401.42,410.05,4108.06,-1253.48,42.55,-1342.74,-1210.94,-2553.68
5126,354.69,902.32,1102.8,-830.56,-7425.35,410.03,4187.32,-1295.47,42.9,-1298.75,-1252.57,-2551.32
5127,323.49,887.88,1084.35,-808.25,-7380.89,414.03,4175.28,-1302.81,42.19,-1304.12,-1260.62,-2564.74
5128,349.87,894.13,1131.35,-834.21,-7306.75,422.04,4147.43,-1355.31,43.75,-1196.15,-1311.56,-2507.71
5129,350.35,877.58,1103.27,-836.52,-7391.94,418.28,4162.14,-1280.71,42.64,-1316.85,-1238.07,-2554.92
5130,328.8,915.15,1121.92,-841.78,-7347.78,411.92,4110.9,-1298.45,42.64,-1300.88,-1255.81,-2556.68
5131,334.98,881.74,1083.47,-812.05,-7400.99,415.41,4117.39,-1261.95,41.52,-1380.06,-1220.43,-2600.48
5132,355.25,895.32,1102.21,-839.33,-7357.94,427.74,4143.2,-1303.75,42.4,-1273.55,-1261.35,-2534.9
5133,347.84,891.43,1092.71,-835.25,-7355.69,416.63,4143.03,-1281.09,41.42,-1299.31,-1239.67,-2538.98
5134,348.58,882.24,1118.51,-827.01,-7328.86,427.0,4138.36,-1331.44,42.68,-1241.17,-1288.76,-2529.93
5135,352.52,876.06,1095.71,-824.69,-7304.64,413.23,4149.39,-1328.84,42.3,-1242.42,-1286.54,-2528.95
5136,333.5,949.2,1109.19,-848.41,-7324.24,429.79,4143.74,-1308.76,41.53,-1207.22,-1267.23,-2474.45
