GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,343.78,899.48,1108.76,-841.29,-7644.08,424.63,4541,-1288.01,43.25,-1167.72,-1244.75,-2412.47
5002,334.1,907.59,1115.88,-834.08,-7624.58,412.35,4547.69,-1302.49,43.49,-1141.06,-1259.01,-2400.06
5003,354.91,856.85,1098.3,-835.44,-7630.68,424.54,4534.06,-1283.31,43.16,-1197.47,-1240.15,-2437.62
5004,349.76,903.69,1139.85,-852.43,-7656.15,419.11,4527.64,-1268.35,44.66,-1168.53,-1223.69,-2392.22
5005,335.97,914.29,1112.36,-835.87,-7600.16,421.33,4509.22,-1283.86,43.57,-1142.87,-1240.28,-2383.15
5006,304.97,928.43,1115.84,-836.79,-7640.3,402.22,4521.79,-1289.79,43.01,-1203.85,-1246.78,-2450.63
5007,338.76,897.91,1114.83,-867.79,-7527.87,414.47,4491.14,-1313.5,42.94,-1138.54,-1270.55,-2409.1
5008,332.67,878.03,1117.9,-851.35,-7615.51,418.92,4531.45,-1317.06,44.04,-1187.89,-1273.02,-2460.91
5009,335.28,877.93,1130.55,-825.03,-7669.73,415.28,4568.07,-1291.34,42.67,-1167.64,-1248.67,-2416.31
5010,351.5,898.03,1123.94,-826.78,-7578.08,408.09,4494.36,-1299.28,42.42,-1128.94,-1256.86,-2385.8
5011,316.88,890.22,1110.71,-822.04,-7663.23,416.98,4515.27,-1259.6,43.98,-1235.21,-1215.62,-2450.83
5012,361.04,851.41,1127.85,-855.14,-7598.2,411.7,4536.3,-1331.29,43.86,-1165.04,-1287.43,-2452.47
5013,334.17,917.3,1133.08,-849.55,-7553.03,432.5,4521.3,-1341.48,43.43,-1064.22,-1298.05,-2362.28
5014,342.03,873.73,1114.71,-867.21,-7657.99,424.19,4549.6,-1279.86,43.41,-1220.94,-1236.45,-2457.39
5015,344.96,892.06,1094.3,-836.67,-7624.83,420.49,4543.69,-1299.08,44.18,-1166,-1254.9,-2420.9
5016,352.71,917.93,1104.39,-832.47,-7545.18,415.55,4471.9,-1331.68,45.29,-1115.18,-1286.39,-2401.57
5017,317.21,921.5,1125.9,-841.56,-7548.56,426.66,4535.34,-1345.78,45.01,-1063.5,-1300.77,-2364.28
5018,326.74,895.25,1118.69,-856.74,-7544.31,414.28,4529.93,-1359.35,43.78,-1116.17,-1315.58,-2431.75
5019,329.16,907.92,1089.68,-824.04,-7539.89,414.16,4511.49,-1352.51,45.35,-1111.53,-1307.16,-2418.69
5020,358.48,901.3,1122.45,-838.12,-7638.5,410.2,4519.13,-1277.71,43.89,-1165.07,-1233.82,-2398.9
5021,318.79,887.21,1135.99,-848.71,-7569.16,430.05,4534.59,-1360.62,45.27,-1111.25,-1315.35,-2426.6
5022,322.97,936.91,1130.98,-858.64,-7472.67,417.77,4513.99,-1407.58,44.54,-1008.68,-1363.05,-2371.72
5023,340.05,851.5,1139.81,-838.22,-7546.72,418.96,4498.9,-1338,44.3,-1135.72,-1293.71,-2429.42
5024,322.02,907.17,1115.98,-838.72,-7567.22,424.36,4519.36,-1337.67,44.11,-1117.05,-1293.57,-2410.61
5025,321.38,949.54,1117.64,-833.25,-7530.28,397.48,4530.02,-1384.45,45.01,-1047.47,-1339.45,-2386.92
5026,332.27,899.14,1100.02,-814.01,-7479.77,422.49,4497.73,-1377.05,46.22,-1042.12,-1330.83,-2372.95
5027,353.78,918.58,1127.27,-828.47,-7562.99,425.62,4536.51,-1376.78,44.76,-1029.7,-1332.02,-2361.72
5028,348.09,852.51,1133.99,-827.28,-7475.91,415.77,4523.5,-1428.61,44.57,-1029.31,-1384.04,-2413.35
5029,342.23,899.82,1128.34,-834.97,-7488.34,405.62,4504.81,-1407.82,44.43,-1042.49,-1363.39,-2405.88
5030,326.54,895.92,1108.49,-840.85,-7457.84,412.36,4514.35,-1410.22,45.65,-1041.05,-1364.56,-2405.61
5031,335.75,883.82,1121.37,-825.35,-7525.11,410.45,4501.81,-1378.59,45.73,-1097.27,-1332.87,-2430.13
5032,305.48,848.11,1100.18,-841.14,-7437.39,414.14,4508.97,-1424.13,46.25,-1101.66,-1377.89,-2479.55
5033,326.97,892.07,1104.52,-837.19,-7452.93,409.68,4509.67,-1429.01,46.95,-1047.2,-1382.06,-2429.26
5034,311.6,931.39,1105.31,-847.68,-7445.4,419.24,4489.19,-1388.17,43.96,-1036.36,-1344.21,-2380.57
5035,337.22,845.6,1102.04,-839.19,-7550.18,420.73,4523.05,-1337.95,44.55,-1160.74,-1293.4,-2454.14
5036,352.73,897.58,1087.66,-836.36,-7547.7,416.95,4523.23,-1346.39,43.57,-1105.91,-1302.82,-2408.73
5037,327.51,906.97,1108.7,-834.32,-7577.43,423.25,4536.35,-1332.87,44.04,-1108.96,-1288.83,-2397.79
5038,324.55,929.67,1144,-837.63,-7590.34,424.14,4545.73,-1354.13,43.63,-1059.89,-1310.49,-2370.38
5039,323.23,924.55,1111.26,-833.52,-7545.45,400.63,4506.85,-1350.15,45.9,-1112.46,-1304.24,-2416.7
5040,347.13,893.55,1125.86,-815.92,-7589.51,398.27,4487.21,-1288.9,45.21,-1153.4,-1243.69,-2397.09
5041,327.84,867.08,1120.24,-816.73,-7623.95,419.21,4547.1,-1308.12,45.63,-1159.21,-1262.49,-2421.7
5042,340.19,883.26,1140.29,-833.31,-7580.87,419.45,4521.56,-1329.21,44.99,-1109.43,-1284.21,-2393.64
5043,345.46,899.49,1115.27,-849.72,-7533.95,412.89,4508.85,-1351.92,44.3,-1101.71,-1307.62,-2409.34
5044,328.21,904.99,1103.91,-838.67,-7583.88,417.73,4522.09,-1330.46,43.9,-1145.61,-1286.56,-2432.18
5045,336.36,873.15,1087.57,-833.48,-7650.02,434.17,4547.09,-1287.56,43.62,-1205.16,-1243.95,-2449.1
5046,348.2,898,1108.87,-845.46,-7555.17,413.59,4491.93,-1325.48,43.08,-1140.05,-1282.4,-2422.45
5047,353.35,890.99,1117.93,-850.93,-7581.63,430.26,4520.4,-1310.28,43.99,-1119.64,-1266.28,-2385.92
5048,319.63,923.89,1085.41,-838.68,-7587.62,427.23,4513.63,-1290.63,45.35,-1156.51,-1245.28,-2401.79
5049,322.52,925.8,1099.55,-830.98,-7624.17,411.65,4489.33,-1250.69,45.35,-1206.31,-1205.34,-2411.65
5050,335.59,916.31,1117.64,-841.19,-7624.07,424.04,4517.77,-1293.86,43.89,-1153.91,-1249.97,-2403.88
5051,353.55,880.3,1124.13,-860.53,-7574.83,411.51,4468.05,-1272.19,42.98,-1197.83,-1229.22,-2427.05
5052,329.05,892.37,1114.55,-829.11,-7631.89,426.13,4496.04,-1255.59,43.04,-1202.85,-1212.55,-2415.41
5053,340.04,897.77,1123.19,-855.07,-7652.32,413.72,4548.97,-1289.81,43.86,-1183.71,-1245.96,-2429.66
5054,353.7,899.74,1101.47,-840.28,-7535.24,424.79,4470.7,-1327.29,43.87,-1125.13,-1283.42,-2408.54
5055,380.61,872.62,1102.71,-858.46,-7462.76,415.52,4467.55,-1376.34,43.34,-1082.19,-1333,-2415.19
5056,337.13,859.02,1132.01,-854.57,-7551.72,415.11,4537.02,-1347.52,44.7,-1126,-1302.82,-2428.82
5057,369.48,898.98,1106.81,-853.26,-7500.21,415.35,4495.22,-1386.41,43.76,-1067.62,-1342.66,-2410.28
5058,331.31,873.32,1110.7,-852.88,-7514.21,419.95,4539.6,-1376.52,45.2,-1092.21,-1331.31,-2423.53
5059,348.1,871.21,1095.34,-825.77,-7557.71,415.91,4524.06,-1344.24,45.15,-1128.87,-1299.1,-2427.96
5060,313.94,885.51,1117.18,-845.58,-7587.93,416.43,4524.39,-1293.68,42.99,-1176.06,-1250.69,-2426.76
5061,342.64,899.65,1113.97,-835.73,-7532.49,419.22,4485.04,-1323.52,44.18,-1107.7,-1279.33,-2387.03
5062,375.46,869.02,1127.83,-851.42,-7528.11,414.52,4508.66,-1341.63,43.54,-1084.04,-1298.09,-2382.13
5063,380.9,902.69,1103.85,-838,-7513.76,410.67,4471.62,-1345.26,43.38,-1082.03,-1301.88,-2383.91
5064,359.5,926.51,1098.64,-851.08,-7538.59,414.04,4528.86,-1366.94,42.73,-1062.13,-1324.21,-2386.34
5065,334.2,856.09,1096.52,-867.05,-7511.87,418.99,4551.04,-1386.77,42.51,-1122.08,-1344.26,-2466.34
5066,338.57,929.36,1113.4,-848.56,-7474.87,412.27,4501.66,-1420.08,44.63,-1028.18,-1375.44,-2403.62
5067,343.86,873.91,1115.44,-831.05,-7531.39,412.07,4559.94,-1392.88,43.56,-1057.23,-1349.32,-2406.55
