GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,333.42,801.21,979.85,-783.91,-6995.99,387.36,3931.76,-1439.22,41.3,-1346.3,-1397.91,-2744.21
5002,334.75,840.57,981.23,-781.35,-7038.85,382.38,3904,-1368.7,38.52,-1377.27,-1330.18,-2707.45
5003,313.18,844.45,998.04,-783.61,-7002.58,412.12,3939.67,-1431.58,40.2,-1278.72,-1391.37,-2670.1
5004,314.3,843.72,987.88,-759.23,-7044.96,405.1,3919.04,-1383.92,39.72,-1334.16,-1344.2,-2678.37
5005,336.86,846.17,973.87,-757.05,-7097.63,384.39,3909.83,-1347.29,40.34,-1403.55,-1306.95,-2710.51
5006,320.33,816.31,976.96,-765.94,-7030.07,409.18,3905.69,-1406.62,40.13,-1367.53,-1366.49,-2734.02
5007,315.8,795.1,983.92,-785.57,-7103.77,396.42,3931.93,-1330.87,39.93,-1466.18,-1290.94,-2757.13
5008,311.42,821.95,976.31,-789.28,-6986.12,388.18,3903.98,-1431.45,40.75,-1373.57,-1390.7,-2764.27
5009,336.52,779.66,990.39,-790.67,-7057.76,373.99,3918.98,-1363.19,40.59,-1448.88,-1322.59,-2771.47
5010,317.74,823.32,991.16,-770.28,-7083.31,397.19,3929.2,-1384.16,40.26,-1394.97,-1343.9,-2738.87
5011,319.8,830.25,979.85,-768.95,-7112.64,385.44,3942.64,-1355.45,38.66,-1423.61,-1316.79,-2740.4
5012,335.15,813.12,993.04,-768.25,-7047.69,391.3,3887.06,-1372.21,40.15,-1396.27,-1332.06,-2728.32
5013,311.94,841.18,982.78,-751.93,-7025.99,388.56,3937.99,-1402.36,41.84,-1315.47,-1360.51,-2675.98
5014,293.25,804.36,989.3,-778.85,-7094.62,400.85,3938.12,-1356.32,40.75,-1447.59,-1315.57,-2763.16
5015,292.53,852.98,1015.57,-783.83,-7140.34,389.75,3905.77,-1286.45,41.06,-1467.57,-1245.39,-2712.96
5016,302.2,838.65,992.52,-771.63,-7069.94,409.72,3924.47,-1356.7,39.51,-1374.01,-1317.18,-2691.19
5017,340.63,805.41,966.49,-763.39,-7077.25,385.59,3898.75,-1354.47,41.24,-1443.77,-1313.23,-2757
5018,313.58,833.38,984.56,-777.19,-7040.74,400.28,3911.03,-1385.12,41.48,-1375.11,-1343.64,-2718.75
5019,296.32,852,997.35,-810.75,-7051.46,383.61,3924.37,-1354.28,39.33,-1408.55,-1314.95,-2723.5
5020,318.02,807.26,996.29,-760.88,-7047.56,390.76,3935.71,-1400.52,38.94,-1360.4,-1361.58,-2721.98
5021,317.48,833.15,986.88,-782.36,-7038.02,387.51,3915.73,-1398.05,39.41,-1379.62,-1358.64,-2738.26
5022,343.56,844.16,989.94,-787.1,-6981.23,397.95,3901.12,-1408.62,39.29,-1291.59,-1369.33,-2660.92
5023,288.67,809.98,995.04,-792.15,-7013.68,393.2,3897.76,-1388.65,39.77,-1421.16,-1348.88,-2770.04
5024,312.11,837.94,1004.08,-796.8,-7052.59,400.44,3906.52,-1357.77,38.8,-1388.3,-1318.96,-2707.26
5025,330.66,817.65,989.87,-779.25,-7026.13,372.17,3885.42,-1393.88,40.71,-1409.61,-1353.17,-2762.78
5026,287.37,800.78,994.16,-785.22,-7073.23,416.48,3907.98,-1338.34,39.71,-1451.68,-1298.63,-2750.32
5027,329.25,828.52,994.5,-782.82,-7045.54,393.22,3914.02,-1361.12,39.87,-1368.86,-1321.25,-2690.11
5028,325.57,787.63,1003,-780.09,-7077.81,390.2,3905.93,-1342.4,40.11,-1445.55,-1302.29,-2747.84
5029,289.86,832.24,999.28,-763.1,-7067.32,388.66,3905.39,-1354.25,40.36,-1414.98,-1313.89,-2728.87
5030,322.08,854.39,999.89,-751.3,-7064.35,387.78,3883.35,-1342.03,40.65,-1368.16,-1301.38,-2669.54
