GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,328.98,847.37,1013.57,-791.38,-7046.6,385.64,3921.49,-1390.6,41.65,-1340.94,-1348.95,-2689.89
5002,310.73,816.46,1003.03,-780.98,-7006.38,394.9,3971.7,-1435.29,41.16,-1290.55,-1394.13,-2684.68
5003,333.84,841.46,991.26,-795.11,-6983.37,392.39,3920.44,-1435.01,42.48,-1299.09,-1392.53,-2691.62
5004,346.28,837.79,995.99,-783.86,-7048.2,393.78,3903.56,-1364.84,41.01,-1354.66,-1323.83,-2678.49
5005,303.56,834.67,971.69,-796.42,-7052.07,392.18,3946.24,-1387.45,41.41,-1400.16,-1346.03,-2746.19
5006,300.78,824.65,1004.64,-791.79,-7017.98,393.48,3942.25,-1414.94,41.28,-1343.96,-1373.66,-2717.62
5007,300.97,842.6,1013.01,-802.0,-7002.26,392.58,3933.87,-1426.94,42.53,-1321.24,-1384.41,-2705.65
5008,331.57,813.9,998.52,-779.79,-7013.87,395.13,3911.76,-1386.73,42.06,-1342.79,-1344.68,-2687.47
5009,330.16,821.36,1012.35,-808.69,-7083.33,388.02,3932.87,-1356.74,40.6,-1407.26,-1316.14,-2723.39
5010,359.77,819.22,1010.66,-787.52,-7002.4,377.89,3882.68,-1386.08,42.23,-1339.69,-1343.85,-2683.54
5011,332.43,849.18,1004.9,-786.5,-7080.62,393.66,3960.39,-1385.04,41.58,-1326.55,-1343.46,-2670.01
5012,313.69,791.1,1009.54,-779.36,-7107.04,388.93,3918.46,-1331.21,41.71,-1464.68,-1289.5,-2754.18
5013,318.98,839.64,999.84,-781.64,-7101.52,388.54,3930.22,-1373.92,41.63,-1405.94,-1332.29,-2738.23
5014,309.32,812.0,1006.79,-784.49,-7043.15,384.97,3956.83,-1413.34,41.86,-1357.72,-1371.48,-2729.2
5015,340.27,819.92,1006.4,-787.72,-7078.47,387.15,3952.9,-1358.85,40.85,-1359.56,-1318.0,-2677.56
5016,345.9,821.25,998.88,-789.25,-7061.71,385.88,3936.47,-1386.01,41.79,-1362.57,-1344.22,-2706.79
5017,316.82,796.0,998.95,-783.87,-7109.31,387.59,3947.54,-1362.86,42.36,-1446.27,-1320.5,-2766.77
