GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,733.49,1272.52,1000.71,-742.7,-6800.73,421.61,3966.14,-1651.01,44.92,-148.95,-1606.09,-1755.05
5002,764.26,1262.08,988.55,-742.24,-6810.07,432.01,3962.42,-1656.6,46.97,-142.99,-1609.63,-1752.62
5003,745.75,1342.55,991.28,-752.84,-6745.1,434.58,3923.09,-1676.79,46.02,-60.69,-1630.77,-1691.46
5004,796.27,1241.02,986.78,-750.87,-6770.31,416.42,3934.63,-1636.93,46.94,-146.07,-1589.99,-1736.06
5005,716.3,1302.66,956.17,-751.38,-6801.44,432.75,3957.03,-1629.65,45.97,-187.92,-1583.68,-1771.59
5006,764.1,1273.34,991.77,-761.37,-6797.88,440.74,3944.16,-1625.64,44.82,-145.14,-1580.82,-1725.97
5007,754.49,1294.28,998,-751.46,-6776.29,410.04,3939.94,-1647.76,45.96,-131.02,-1601.79,-1732.81
5008,764.15,1280.63,973.63,-733.3,-6799.73,426.67,3925.88,-1610.02,45.84,-162.08,-1564.18,-1726.26
5009,758.36,1373.56,991.47,-756.54,-6855.86,417.5,3948.82,-1590.48,45.35,-122.68,-1545.13,-1667.81
5010,773.99,1262.69,981.17,-729.96,-6763.03,442.84,3960.94,-1668.4,46.02,-71.36,-1622.38,-1693.74
5011,759.01,1308.16,999.64,-737.37,-6819.2,421.65,3940.68,-1628.64,45.45,-127.44,-1583.19,-1710.63
5012,768,1297.71,990.89,-748.99,-6775.72,423.3,3926.43,-1639.97,45.73,-118.37,-1594.24,-1712.61
5013,745.41,1303.71,1002.76,-742.27,-6784.08,429.97,3924.84,-1627.95,45.91,-119.66,-1582.04,-1701.7
5014,753.69,1313.73,987.65,-743.08,-6829.53,442.3,3927.58,-1583.95,45.36,-147.66,-1538.59,-1686.24
5015,766.47,1318.28,987.95,-750.35,-6785.6,421.42,3921.74,-1629.27,47.05,-120.08,-1582.22,-1702.3
5016,761.85,1326.37,963.22,-733.72,-6816.78,420.89,3935.1,-1603.39,45.21,-143.06,-1558.18,-1701.24
5017,722.96,1311.53,1001.85,-737.1,-6820.18,422.94,3965.9,-1621.68,45.49,-132.1,-1576.19,-1708.29
5018,751.83,1292.34,982.9,-731.5,-6863.23,418.73,3952.52,-1583.06,45.56,-196.42,-1537.49,-1733.91
5019,771.11,1270.11,990.05,-749.63,-6817.93,417.52,3899.86,-1570.38,45.32,-218.91,-1525.05,-1743.97
5020,741.51,1301.93,987.27,-735.19,-6815.44,416.19,3922.4,-1608.67,45.69,-181.32,-1562.98,-1744.3
5021,744.77,1309.02,1003.59,-744.95,-6765.75,410.72,3931.44,-1662.3,45.75,-111.16,-1616.56,-1727.72
5022,746.73,1282.2,1002.44,-730.01,-6789.94,436.06,3972.85,-1648.88,47.87,-79.68,-1601.01,-1680.69
