GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,305.17,816.95,984.93,-735.94,-6966.0,379.05,3925.3,-1484.26,45.72,-1290.54,-1438.54,-2729.08
5002,312.82,835.79,983.72,-730.58,-6989.96,390.35,3940.66,-1475.45,44.8,-1257.19,-1430.64,-2687.83
5003,296.2,839.69,978.24,-745.92,-7019.63,389.1,3927.18,-1419.08,44.04,-1335.13,-1375.04,-2710.17
5004,296.8,876.82,984.35,-751.6,-7100.14,408.82,3964.94,-1374.72,43.31,-1320.02,-1331.41,-2651.43
5005,318.78,842.13,1002.12,-761.01,-7050.72,382.6,3926.71,-1404.94,43.84,-1339.4,-1361.1,-2700.5
5006,324.84,787.22,991.3,-750.5,-7035.97,396.49,3933.17,-1403.33,43.23,-1353.44,-1360.1,-2713.55
5007,313.98,845.96,991.55,-748.43,-6987.55,389.72,3902.06,-1447.67,44.59,-1292.71,-1403.08,-2695.8
5008,301.24,832.22,984.12,-772.45,-7002.12,379.7,3942.03,-1437.23,44.17,-1335.26,-1393.06,-2728.32
5009,311.32,824.3,999.49,-749.56,-7016.58,387.84,3904.32,-1424.78,44.98,-1338.87,-1379.8,-2718.67
5010,309.75,818.35,1016.8,-743.18,-7008.42,398.52,3930.26,-1457.93,44.47,-1277.93,-1413.47,-2691.4
5011,323.49,812.89,986.42,-742.12,-6972.32,401.4,3914.73,-1461.96,44.5,-1275.52,-1417.46,-2692.98
5012,309.99,804.83,986.33,-752.12,-7090.67,402.67,3949.51,-1374.41,43.19,-1389.46,-1331.22,-2720.68
5013,323.9,830.37,1000.9,-727.9,-7053.77,395.17,3958.0,-1437.85,44.72,-1273.32,-1393.13,-2666.45
5014,304.63,892.59,992.06,-774.8,-7001.14,386.4,3920.53,-1436.85,43.75,-1279.72,-1393.11,-2672.83
5015,324.5,843.99,982.87,-765.05,-6910.74,390.76,3943.18,-1505.14,44.19,-1190.5,-1460.96,-2651.45
5016,344.07,808.52,987.81,-752.15,-6934.74,385.27,3912.72,-1495.39,43.8,-1248.5,-1451.59,-2700.09
5017,307.36,830.07,987.3,-767.3,-6981.47,374.45,3912.73,-1450.76,43.8,-1336.86,-1406.96,-2743.81
5018,316.93,850.1,995.32,-743.65,-6985.18,394.34,3929.46,-1476.91,43.97,-1242.69,-1432.93,-2675.63
5019,320.52,856.21,1000.37,-755.48,-6934.11,392.76,3925.58,-1531.88,45.62,-1194.15,-1486.26,-2680.41
5020,323.46,835.25,975.35,-769.98,-6935.95,399.85,3964.2,-1508.34,43.94,-1207.82,-1464.4,-2672.22
5021,325.08,831.82,990.6,-748.95,-6956.66,404.93,3914.07,-1482.34,45.08,-1239.11,-1437.27,-2676.38
5022,325.56,814.19,990.06,-751.06,-6924.16,394.32,3971.28,-1554.71,46.16,-1179.82,-1508.54,-2688.36
5023,314.0,767.55,979.87,-740.68,-6978.41,393.11,3959.42,-1514.16,45.34,-1305.14,-1468.81,-2773.95
5024,335.92,796.03,987.54,-760.6,-6936.52,386.63,3935.95,-1507.39,45.84,-1255.06,-1461.55,-2716.61
5025,315.08,837.54,1004.43,-754.42,-6918.75,392.45,3954.0,-1522.4,48.71,-1169.67,-1473.7,-2643.37
5026,321.41,828.92,996.08,-750.92,-6907.72,396.51,3923.29,-1529.41,44.87,-1192.42,-1484.55,-2676.97
5027,335.65,806.23,988.39,-751.47,-6869.85,387.71,3897.83,-1555.11,45.88,-1205.51,-1509.23,-2714.73
5028,308.42,865.46,989.43,-768.09,-6941.89,393.19,3914.11,-1492.21,45.58,-1239.36,-1446.64,-2686.0
5029,321.91,813.13,1008.44,-764.25,-6814.47,385.36,3888.19,-1598.24,46.73,-1161.68,-1551.52,-2713.2
5030,318.79,814.91,1002.74,-748.16,-6861.66,381.81,3946.48,-1593.42,46.53,-1145.1,-1546.89,-2691.99
5031,312.31,798.64,976.91,-747.18,-6883.47,414.17,3951.04,-1574.75,45.79,-1177.59,-1528.95,-2706.54
5032,344.62,847.43,995.71,-757.66,-6914.26,396.17,3919.68,-1515.85,45.21,-1168.3,-1470.64,-2638.95
5033,316.63,806.28,1014.13,-753.03,-6919.39,396.36,3922.47,-1530.08,44.51,-1216.54,-1485.57,-2702.11
5034,323.0,791.27,1008.96,-763.98,-6828.14,381.62,3917.14,-1588.49,45.74,-1170.13,-1542.75,-2712.88
5035,314.58,814.31,1008.07,-762.94,-6928.28,392.72,3916.31,-1512.82,46.09,-1245.23,-1466.73,-2711.96
5036,305.54,841.51,1003.63,-757.14,-6927.86,394.95,3956.25,-1532.0,44.76,-1183.12,-1487.24,-2670.36
5037,328.32,794.73,984.31,-747.45,-6834.87,383.83,3920.12,-1586.32,46.79,-1171.02,-1539.53,-2710.55
5038,315.8,829.51,992.1,-728.94,-6984.91,390.12,3958.4,-1495.04,44.94,-1227.92,-1450.1,-2678.01
5039,303.08,845.73,1013.27,-739.93,-7010.49,391.47,3974.2,-1497.05,45.09,-1222.67,-1451.96,-2674.63
5040,307.47,853.11,997.93,-766.41,-7010.44,387.79,3942.39,-1447.22,44.5,-1288.16,-1402.72,-2690.87
5041,322.72,825.37,1001.81,-754.11,-7028.99,379.37,3904.21,-1432.9,44.11,-1349.63,-1388.79,-2738.42
5042,325.65,818.0,1011.73,-764.77,-7036.29,381.4,3954.19,-1445.35,44.3,-1310.1,-1401.05,-2711.15
