GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,1131.1,2963.14,3472.58,-2858.35,-24753.52,1270.99,14923.14,-5555.82,113.85,-3850.91,-5441.98,-9292.89
5002,1078.92,2923.47,3458.58,-2831.61,-24736.96,1271.01,14899.5,-5546.28,116.03,-3937.07,-5430.25,-9367.33
5003,1020.41,2948.73,3448.39,-2866.23,-24773.77,1283.18,14946.31,-5557.56,114.96,-3992.98,-5442.6,-9435.58
5004,1094.15,2928.76,3458.16,-2856.63,-24780.88,1299.78,14999.12,-5586.85,116.4,-3857.53,-5470.45,-9327.98
5005,1065.36,2849.51,3516.61,-2865.22,-24744.02,1282.6,14992.11,-5598.0,114.39,-3903.04,-5483.61,-9386.65
5006,1083.74,2884.32,3448.42,-2833.68,-24657.24,1274.1,14878.38,-5636.94,114.96,-3921.96,-5521.98,-9443.94
5007,1146.85,2932.65,3430.2,-2854.21,-24834.35,1256.07,14914.81,-5468.44,114.31,-4007.99,-5354.13,-9362.12
5008,1104.77,2806.02,3468.16,-2858.12,-24842.93,1278.16,14982.78,-5498.92,116.89,-4061.15,-5382.03,-9443.18
5009,1065.82,2940.23,3486.75,-2849.79,-24863.93,1259.28,14959.97,-5468.84,117.88,-4001.68,-5350.96,-9352.63
5010,1077.5,2924.87,3468.21,-2822.66,-24801.99,1273.74,14958.87,-5562.49,116.74,-3921.46,-5445.75,-9367.21
5011,1109.85,2950.74,3487.43,-2813.87,-24803.47,1284.23,14944.02,-5573.75,118.08,-3841.07,-5455.67,-9296.74
5012,1126.85,2930.81,3463.3,-2840.2,-24859.62,1270.39,14980.14,-5515.19,118.29,-3928.33,-5396.9,-9325.23
5013,1088.22,2878.89,3490.0,-2850.25,-24819.85,1259.56,14910.24,-5499.38,114.38,-4043.18,-5385.0,-9428.18
5014,1117.32,2911.02,3487.6,-2894.13,-24845.73,1266.58,14949.3,-5437.41,116.12,-4008.05,-5321.29,-9329.34
5015,1111.05,2964.34,3467.12,-2848.1,-24905.67,1302.59,14966.69,-5454.05,114.82,-3941.98,-5339.23,-9281.21
5016,1081.37,2901.24,3423.18,-2841.04,-24772.74,1290.29,14910.66,-5497.12,116.38,-4007.04,-5380.74,-9387.78
5017,1120.31,2959.63,3453.59,-2846.0,-24900.81,1232.78,14929.17,-5431.22,116.1,-4051.32,-5315.12,-9366.44
5018,1069.91,2920.87,3447.72,-2831.51,-24950.53,1260.41,14978.02,-5464.92,117.79,-4105.1,-5347.13,-9452.23
