GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,1082.11,2935.35,3476.48,-2863.9,-24748.21,1264.29,14979.55,-5610.89,115.22,-3874.33,-5495.67,-9370
5002,1073.77,2906.75,3447.17,-2814.46,-24583.52,1288.78,14957.08,-5732.59,119.4,-3724.44,-5613.19,-9337.63
5003,1086.46,3014.51,3466.43,-2884.05,-24548.32,1281.42,14923.91,-5707.22,117.74,-3659.64,-5589.48,-9249.12
5004,1134.68,2858.93,3449.37,-2872.84,-24633.42,1277.05,14940.96,-5671.1,116.35,-3845.27,-5554.74,-9400.02
5005,1099.38,2945.06,3461.43,-2827.06,-24685.07,1281.66,15009.35,-5685.42,116.03,-3715.26,-5569.39,-9284.65
5006,1082.22,2987.43,3494.31,-2815.11,-24542.42,1286.8,14865.55,-5726.37,118.61,-3641.23,-5607.76,-9248.99
5007,1080.37,2907.49,3467.56,-2871.99,-24522.08,1287.52,14873.12,-5688.43,115.13,-3778.01,-5573.29,-9351.31
5008,1079.47,2920.33,3447.45,-2857.67,-24590.78,1275.5,14855.63,-5632.76,115.49,-3870.07,-5517.27,-9387.34
5009,1098.43,2888.7,3468.54,-2866.92,-24863.9,1284.95,14949.12,-5521.04,112.65,-4041.08,-5408.4,-9449.48
5010,1086.94,3005.77,3459.87,-2856.78,-24594.61,1266.21,14900.94,-5661.3,116.31,-3731.65,-5544.99,-9276.64
5011,1069.16,2918.22,3500.16,-2868.18,-24731.94,1274.9,14910.7,-5563.3,113.28,-3926.98,-5450.01,-9376.99
5012,1098.54,2938.32,3434.74,-2843.2,-24793.54,1278.39,14991.33,-5590.65,115.34,-3895.43,-5475.31,-9370.73
5013,1074.59,2964.5,3475.66,-2856.6,-24728.24,1294.65,14913.44,-5553.71,115.35,-3862,-5438.36,-9300.36
5014,1058.72,2901.71,3459.68,-2845.98,-24768.87,1305.71,14981.58,-5585.72,115.9,-3907.45,-5469.82,-9377.27
5015,1093.46,2948.96,3466.52,-2852.43,-24553.02,1271.36,14934.67,-5740.32,117.43,-3690.49,-5622.89,-9313.38
5016,1118.52,2930.61,3461.91,-2850.23,-24671.14,1284.07,14925.48,-5635.37,115.8,-3800.79,-5519.57,-9320.36
5017,1128.99,2949.38,3427.58,-2853.92,-24724.87,1296.51,14969.44,-5628.31,116.18,-3806.89,-5512.13,-9319.02
5018,1087.49,2907.13,3472.42,-2851,-24700.88,1257.27,14950.05,-5609.71,115.24,-3877.52,-5494.47,-9371.98
5019,1116.39,2947.56,3460.35,-2827.4,-24725.19,1272,14935.74,-5638.95,115.77,-3820.55,-5523.18,-9343.73
5020,1126.77,2855.76,3492,-2893.73,-24726.55,1277.28,15021.66,-5665.44,117.57,-3846.81,-5547.87,-9394.68
5021,1117.16,2966.1,3464.22,-2835.82,-24680.51,1282.18,15010.18,-5740.27,114.8,-3676.49,-5625.46,-9301.95
5022,1051.04,2900.13,3485.93,-2851.25,-24736.2,1288.35,15046.86,-5672.44,115.07,-3815.14,-5557.38,-9372.51
5023,1070.9,2895.49,3463.38,-2796.87,-24683.47,1268.46,14947.19,-5696.01,117.3,-3834.92,-5578.71,-9413.63
5024,1076.6,2890.13,3483.56,-2831.61,-24564.8,1256.01,14913.38,-5755.15,117.68,-3776.72,-5637.48,-9414.2
5025,1036.02,2982.59,3475.55,-2835.03,-24601.87,1278.7,14920.65,-5698.78,115.74,-3743.39,-5583.03,-9326.42
5026,1085.36,2948.91,3481.36,-2859.57,-24607.39,1275.4,14936.52,-5730.01,114.52,-3739.42,-5615.49,-9354.91
5027,1074.01,2974.77,3518.94,-2845.56,-24698.53,1274.8,14951.26,-5648.28,113.5,-3750.31,-5534.78,-9285.09
5028,1131.26,2899.35,3462.3,-2862.22,-24696.36,1247.12,14925.13,-5590.92,115.39,-3893.42,-5475.53,-9368.95
5029,1098.2,2949.74,3461.52,-2890.82,-24638.02,1270.14,14945.13,-5638.97,114.05,-3804.13,-5524.92,-9329.04
5030,1097.37,2883.81,3491.24,-2859.44,-24807.05,1266.41,15005.3,-5576.04,114.72,-3922.36,-5461.33,-9383.69
5031,1117.12,2951.15,3500.21,-2834.78,-24714.55,1269.43,14879.47,-5601.21,113.31,-3831.96,-5487.89,-9319.85
5032,1114.1,2965.8,3462.7,-2871.66,-24891.89,1266.51,15026.86,-5548.3,114.53,-3927.59,-5433.76,-9361.35
5033,1126.67,2921.57,3486.49,-2877.79,-24672.91,1266.25,14925.13,-5651.06,114.49,-3824.6,-5536.57,-9361.17
5034,1051.76,2995.77,3444.57,-2830.37,-24847.7,1287.16,15006.99,-5529.06,114.06,-3891.83,-5414.99,-9306.82
5035,1097.17,2907.01,3463.43,-2842.72,-24729.38,1262.67,14909.21,-5601.93,115.19,-3932.61,-5486.74,-9419.35
5036,1074.79,2833.64,3467.82,-2849.88,-24752.12,1287.83,14985.76,-5604.9,114.84,-3952.17,-5490.06,-9442.23
5037,1099.13,2927.42,3492.46,-2850.51,-24696.3,1279.36,14874.55,-5618.17,117,-3873.89,-5501.18,-9375.07
5038,1084.14,2997.69,3438.33,-2826.4,-24643.24,1266.68,14940.93,-5684.81,119.17,-3741.87,-5565.64,-9307.51
5039,1063.76,2889.92,3457.42,-2828.95,-24829.72,1307.47,15033.52,-5601.12,119.46,-3906.58,-5481.66,-9388.24
5040,1112.96,2930.5,3461.3,-2855.92,-24677.57,1279.71,14926.39,-5622.39,117.6,-3822.63,-5504.78,-9327.41
5041,1116.16,2872.61,3458.92,-2867.55,-24652.38,1293.37,14940.61,-5652.93,114.04,-3838.25,-5538.89,-9377.14
