GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,1091.8,2904.06,3469.78,-2866.19,-24407.18,1298.9,15159.76,-5992.36,117.17,-3349.06,-5875.19,-9224.25
5002,1048.36,2941.79,3486.7,-2917.26,-24443.41,1282.04,15078.75,-5874.95,114.47,-3523.02,-5760.49,-9283.5
5003,1085.67,2972.84,3468.48,-2851.77,-24416.89,1255.26,15015.58,-5919.04,119.23,-3470.82,-5799.81,-9270.63
5004,1110.94,2964.81,3493.53,-2823.54,-24518.16,1256.79,15048.42,-5845.81,119.79,-3467.2,-5726.02,-9193.22
5005,1036.34,2901.1,3425.34,-2873.36,-24578.9,1319.21,15106.77,-5803.84,117.63,-3663.5,-5686.21,-9349.72
5006,1063.75,2993.91,3472.42,-2892.98,-24470.2,1300.82,15081.29,-5848.16,116.22,-3450.98,-5731.93,-9182.91
5007,1116.27,2970.14,3448.62,-2878.97,-24463.34,1268.45,14981.1,-5791.53,116.47,-3557.74,-5675.06,-9232.81
5008,1088.3,2960.27,3475.43,-2923.96,-24401.07,1285.03,15021.02,-5842.61,114.05,-3494.98,-5728.56,-9223.54
5009,1108.55,2875.06,3467.09,-2899.34,-24355.99,1290.35,15001.41,-5871.54,117.42,-3512.87,-5754.13,-9267
5010,1078.33,2915.83,3437.86,-2867.37,-24590.64,1289.94,15082.43,-5796.97,116.16,-3653.61,-5680.82,-9334.43
5011,1104.29,2954.38,3499.23,-2916.67,-24465.16,1263.58,15057.93,-5846.1,115.85,-3502.41,-5730.26,-9232.67
5012,1115.35,2932,3479.15,-2882.26,-24433.73,1279.78,15067.9,-5882.14,113.79,-3441.81,-5768.35,-9210.17
5013,1128.12,2916.32,3459.17,-2863.02,-24355.37,1257.76,14995.88,-5923.96,117.25,-3461.15,-5806.72,-9267.87
5014,1070.54,2905.27,3464.73,-2876.97,-24495.32,1284.54,15121,-5861.71,117.11,-3526.2,-5744.6,-9270.8
5015,1029.14,2860.75,3473.96,-2850.81,-24564.15,1285.96,15140.46,-5809.02,115.69,-3624.68,-5693.33,-9318.01
5016,1064.75,2968.3,3491.42,-2872.92,-24367.02,1277.99,15036.99,-5951.78,115.11,-3400.5,-5836.67,-9237.17
5017,1097.94,2974.81,3468.48,-2867.18,-24295.86,1281.73,14968.49,-5935.35,117.7,-3371.58,-5817.65,-9189.23
5018,1085.98,3014.95,3438.16,-2886.13,-24274.74,1281.66,15045.01,-6013.32,118.78,-3295.1,-5894.54,-9189.64
5019,1100.49,2953.5,3504.14,-2872.06,-24360.64,1260.89,15013.21,-5972.79,117.83,-3400.47,-5854.96,-9255.43
5020,981.56,2936.56,3450.68,-2881.42,-24431.51,1318.22,15051.88,-5880.11,117.33,-3574.03,-5762.77,-9336.8
5021,1074.15,2853.27,3446.89,-2893.62,-24372.48,1276.58,14970.1,-5884.03,114.18,-3645.12,-5769.85,-9414.97
5022,1144.13,2842.08,3430.28,-2869.06,-24364.66,1292.7,15123.41,-5977.75,116.64,-3401.11,-5861.1,-9262.22
5023,1101.63,2932.8,3436.72,-2861.7,-24342.81,1282.71,14920.14,-5904.46,116.99,-3530.5,-5787.47,-9317.96
5024,1106.92,2894.03,3459.05,-2858.8,-24350.13,1281.4,15028.26,-5941.14,115.87,-3439.28,-5825.26,-9264.54
5025,1128.65,2829.49,3431.29,-2827.39,-24377.07,1276.96,15013,-5939.4,119.33,-3525.07,-5820.07,-9345.14
